CUSIP,Security Type,Security Term,Auction Date,Issue Date,Price per $100,High Rate,Investment Rate
912797LU9,Bill,4-Week,09/19/2024,2024-09-24,99.634444,4.700005714285689,4.782767264128602
912797MY0,Bill,17-Week,09/18/2024,2024-09-24,98.459611,4.660000336134468,4.798640290205112
912797MC8,Bill,8-Week,09/19/2024,2024-09-24,99.270444,4.690002857142872,4.790088161300358
912797LQ8,Bill,13-Week,09/16/2024,2024-09-19,98.799306,4.749998241758236,4.874498247548859
912797KJ5,Bill,26-Week,09/16/2024,2024-09-19,97.7705,4.410000000000004,4.5732097104955
912797LT2,Bill,4-Week,09/12/2024,2024-09-17,99.613833,4.96500428571429,5.053477541187912
912797MX2,Bill,17-Week,09/11/2024,2024-09-17,98.433167,4.7399989915966465,4.882330272807719
912797MB0,Bill,8-Week,09/12/2024,2024-09-17,99.223778,4.989998571428599,5.098882756855806
912797LP0,Bill,13-Week,09/09/2024,2024-09-12,98.762653,4.89499912087912,5.02516393497471
912797MT1,Bill,26-Week,09/09/2024,2024-09-12,97.709833,4.5300006593406525,4.700568196820916
912797LS4,Bill,4-Week,09/05/2024,2024-09-10,99.604889,5.079998571428571,5.170985238629057
912797MW4,Bill,17-Week,09/04/2024,2024-09-10,98.410028,4.809999327731101,4.955597486416313
912797MA2,Bill,8-Week,09/05/2024,2024-09-10,99.216,5.040000000000039,5.150378971133728
912797LF2,Bill,13-Week,09/03/2024,2024-09-05,98.743694,4.970001758241739,5.1031406222654985
912797MM6,Bill,26-Week,09/03/2024,2024-09-05,97.651694,4.645000879120867,4.8227681336687995
912797MH7,Bill,52-Week,09/03/2024,2024-09-05,95.803889,4.149999890109892,4.39192899306262
912797LK1,Bill,4-Week,08/29/2024,2024-09-03,99.597889,5.169998571428636,5.26296707668465
912797LV7,Bill,8-Week,08/29/2024,2024-09-03,99.206667,5.099997857142883,5.212181113507536
912797MR5,Bill,17-Week,08/28/2024,2024-09-03,98.390194,4.870001344537834,5.018427194178375
912797HP5,Bill,13-Week,08/26/2024,2024-08-29,98.727333,5.034726593406588,5.170456039411442
912797ML8,Bill,26-Week,08/26/2024,2024-08-29,97.631472,4.685000439560435,4.865306025612197
912797MQ7,Bill,17-Week,08/21/2024,2024-08-27,98.373667,4.919998991596646,5.070800411378766
912797LJ4,Bill,4-Week,08/22/2024,2024-08-27,99.592444,5.240005714285708,5.334524747106884
912797LE5,Bill,13-Week,08/19/2024,2024-08-22,98.722208,5.055001318681339,5.191546840534291
912797KA4,Bill,26-Week,08/19/2024,2024-08-22,97.5885,4.770000000000008,4.955758106744143
912797LH8,Bill,4-Week,08/15/2024,2024-08-20,99.590889,5.2599985714285165,5.354961845096897
912797MP9,Bill,17-Week,08/14/2024,2024-08-20,98.353833,4.980001008403378,5.133676578802625
912797LD7,Bill,13-Week,08/12/2024,2024-08-15,98.718417,5.069998681318673,5.207149269492764
912797MK0,Bill,26-Week,08/12/2024,2024-08-15,97.575861,4.795000219780213,4.982377193735383
912797MN4,Bill,17-Week,08/07/2024,2024-08-13,98.350528,4.989999327731101,5.144156291616033
912797LG0,Bill,4-Week,08/08/2024,2024-08-13,99.588944,5.285005714285741,5.380525544510843
912797MG9,Bill,52-Week,08/06/2024,2024-08-08,95.697722,4.2550002197802215,4.508046121573246
912797LC9,Bill,13-Week,08/05/2024,2024-08-08,98.717153,5.074999120879136,5.212351717416563
912797MJ3,Bill,26-Week,08/05/2024,2024-08-08,97.623889,4.69999978021977,4.88126175238219
912797LA3,Bill,4-Week,08/01/2024,2024-08-06,99.588944,5.285005714285741,5.380525544510843
912797ME4,Bill,17-Week,07/31/2024,2024-08-06,98.317472,5.090000672268923,5.249011209371246
912797HE0,Bill,13-Week,07/29/2024,2024-08-01,98.699458,5.145001318681292,5.285195862301131
